"SizeGB","SizeMB","LastWriteTime","DirectoryName","FullName"
"0.06","64","2026/3/12 18:54:00","C:\Users\fy\AppData\LocalLow\NVIDIA\PerDriverVersion\DXCache","C:\Users\fy\AppData\LocalLow\NVIDIA\PerDriverVersion\DXCache\dfb8bbe8f14bc08ff7bb322f6880cddd_fce8395c8fd8a9d8_6db6a4e024cb0715_0_0.4.bin"
"0.06","62.61","2026/4/22 23:33:40","C:\Program Files\Microsoft OneDrive\26.055.0323.0004","C:\Program Files\Microsoft OneDrive\26.055.0323.0004\OneDrive.Sync.Service.dll"
"0.06","62.24","2024/5/9 6:01:36","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdxc32.dll"
"0.06","61.02","2024/10/16 22:09:02","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvwgf2um.dll"
"0.06","60.98","2026/3/26 12:53:54","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup\mpavbase.lkg"
"0.06","60.69","2024/5/9 6:01:40","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\atioglxx.dll"
"0.06","59.51","2025/3/13 22:31:44","C:\Windows\System32\ElevocInstallDriver","C:\Windows\System32\ElevocInstallDriver\vpux_mlir_compiler.dll"
"0.06","59.51","2025/3/13 22:31:44","C:\Windows\System32\DriverStore\FileRepository\elevocapo64.inf_amd64_3e1eb4ccae93bded","C:\Windows\System32\DriverStore\FileRepository\elevocapo64.inf_amd64_3e1eb4ccae93bded\vpux_mlir_compiler.dll"
"0.06","59.12","2026/3/29 13:03:34","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX86\Microsoft Analysis Services\AS OLEDB\140","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX86\Microsoft Analysis Services\AS OLEDB\140\msmdlocal.dll"
"0.06","59.1","2026/4/10 13:16:24","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup\mpavbase.vdm"
"0.06","59.1","2026/4/10 13:16:24","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{889EEA63-4F0E-4800-A193-0F6D410F303C}","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{889EEA63-4F0E-4800-A193-0F6D410F303C}\mpavbase.vdm"
"0.06","57.66","2024/10/16 22:13:26","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvvm32.dll"
"0.06","57.56","2024/4/2 0:37:43","C:\Windows\WinSxS\amd64_microsoft-windows-onedrive-setup_31bf3856ad364e35_10.0.26100.1_none_2233e98c8e9ce5f5","C:\Windows\WinSxS\amd64_microsoft-windows-onedrive-setup_31bf3856ad364e35_10.0.26100.1_none_2233e98c8e9ce5f5\OneDriveSetup.exe"
"0.06","57.38","2024/5/9 6:01:38","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdxx64.dll"
"0.05","56.07","2024/10/16 22:10:28","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvlddmkm.sys"
"0.05","55.88","2026/4/9 13:48:10","C:\Users\fy\AppData\Roaming\kingsoft\wps\addons\pool\win-i386\kpdfkit_3.1.0.13955","C:\Users\fy\AppData\Roaming\kingsoft\wps\addons\pool\win-i386\kpdfkit_3.1.0.13955\kpdfkit.dll"
